Date,Open,High,Low,Close,Volume
2025-01-01,100.8,104.41,98.55,103.52,5910
2025-01-02,102.49,105.15,99.4,100.36,17068
2025-01-03,100.92,102.51,97.73,99.88,19659
2025-01-04,98.15,98.46,96.78,97.77,17942
2025-01-05,96.61,98.16,95.1,96.99,13654
2025-01-06,96.34,100.55,92.06,98.72,17089
2025-01-07,99.43,102.19,98.4,99.12,8436
2025-01-08,99.69,99.94,95.71,98.63,16571
2025-01-09,100.19,103.05,98.61,101.49,11236
2025-01-10,102.02,103.64,97.59,101.01,19578
2025-01-11,102.92,106.95,100.83,104.81,15520
2025-01-12,105.19,107.96,102.09,102.23,7623
2025-01-13,103.87,106.91,98.99,106.17,7965
2025-01-14,107.58,108.58,106.64,106.98,11963
2025-01-15,107.23,109.42,104.71,106.0,16172
2025-01-16,105.59,105.88,104.21,104.29,10746
2025-01-17,104.03,108.23,101.55,107.05,5934
2025-01-18,105.06,106.6,104.79,105.35,9696
2025-01-19,103.88,108.43,100.1,102.09,8837
2025-01-20,103.46,106.52,101.96,106.22,10350
2025-01-21,107.82,108.05,102.93,103.45,19102
2025-01-22,103.45,105.14,98.49,102.96,11855
2025-01-23,104.57,107.22,101.3,102.62,8859
2025-01-24,103.78,104.17,102.05,102.39,8064
2025-01-25,101.09,105.23,96.33,102.9,10909
2025-01-26,104.54,109.33,100.68,107.19,5533
2025-01-27,108.86,113.82,108.35,109.06,8063
2025-01-28,110.08,112.13,109.85,111.38,5375
2025-01-29,112.78,113.62,112.76,113.17,5828
2025-01-30,112.03,115.34,108.71,110.05,9076
