Date,Open,High,Low,Close,Volume
2025-01-01,100.71,104.27,95.83,100.67,10119
2025-01-02,99.79,104.41,95.1,98.57,7723
2025-01-03,97.13,101.93,96.65,97.09,17824
2025-01-04,95.89,100.53,91.0,100.31,14583
2025-01-05,99.63,103.82,97.11,97.15,18120
2025-01-06,98.26,99.52,94.82,96.38,19377
2025-01-07,95.66,99.85,92.87,95.25,5381
2025-01-08,94.12,98.43,93.67,97.63,19272
2025-01-09,98.68,100.55,97.58,98.96,5578
2025-01-10,98.77,99.41,98.41,99.39,18643
2025-01-11,98.65,100.62,98.57,99.7,11129
2025-01-12,98.91,99.69,98.2,99.03,5221
2025-01-13,100.64,101.92,98.79,100.19,8132
2025-01-14,98.27,102.43,95.84,101.49,5032
2025-01-15,100.23,103.07,97.94,101.36,6140
2025-01-16,100.29,102.73,99.69,100.79,14664
2025-01-17,101.26,102.3,96.63,98.58,8000
2025-01-18,98.12,100.42,97.18,99.66,14370
2025-01-19,100.21,104.95,99.37,104.73,13898
2025-01-20,106.62,109.41,106.01,106.48,16317
2025-01-21,104.86,109.66,102.37,103.11,5870
2025-01-22,103.27,105.77,100.22,104.53,10683
2025-01-23,102.88,103.35,102.69,102.9,10716
2025-01-24,104.71,108.87,103.9,107.93,15040
2025-01-25,106.69,109.13,103.57,108.64,10042
2025-01-26,109.78,110.29,106.38,110.1,15391
2025-01-27,111.54,116.27,110.26,112.55,16325
2025-01-28,114.02,118.65,109.72,117.57,10995
2025-01-29,115.74,117.72,115.48,116.02,9344
2025-01-30,116.7,121.21,116.49,119.59,19109
