Date,Open,High,Low,Close,Volume
2025-01-01,100.93,104.9,99.08,99.77,15210
2025-01-02,100.31,102.4,96.52,101.39,10881
2025-01-03,100.48,104.11,98.39,101.23,11772
2025-01-04,101.04,104.12,96.25,99.0,17810
2025-01-05,99.14,100.83,95.3,97.33,17595
2025-01-06,95.54,95.72,95.11,95.58,13414
2025-01-07,96.51,99.01,92.23,98.83,17530
2025-01-08,97.32,99.49,93.0,96.73,12801
2025-01-09,95.28,97.27,93.24,96.35,15185
2025-01-10,94.42,96.85,91.71,94.65,17157
2025-01-11,93.16,95.95,88.49,91.15,8168
2025-01-12,92.19,95.75,89.4,93.63,19000
2025-01-13,91.9,94.94,91.01,91.98,13420
2025-01-14,91.63,94.45,89.67,90.71,5258
2025-01-15,88.88,89.66,84.62,87.42,6393
2025-01-16,88.44,90.84,85.27,88.25,13772
2025-01-17,88.45,90.84,88.05,88.99,14996
2025-01-18,90.38,94.11,86.66,91.35,6479
2025-01-19,91.97,94.8,89.21,89.73,13860
2025-01-20,89.42,93.23,88.94,89.65,8816
2025-01-21,89.78,91.7,88.91,91.53,14919
2025-01-22,90.19,92.64,89.49,92.22,16733
2025-01-23,93.33,97.92,91.8,92.94,18898
2025-01-24,93.55,94.75,92.77,94.67,6126
2025-01-25,94.29,98.47,91.28,93.34,5306
2025-01-26,91.4,93.37,87.24,89.12,5931
2025-01-27,89.79,93.56,85.89,86.08,15499
2025-01-28,85.68,89.39,83.9,84.06,7531
2025-01-29,84.73,85.94,83.93,85.1,11372
2025-01-30,86.63,88.01,83.96,85.36,19958
